fpkm	sum_cible_density_nonoptimal_to_nonoptimal_codon	median_cible_density_nonoptimal_to_nonoptimal_codon	sum_subst_density_nonoptimal_to_nonoptimal_codon	median_subst_per_gene_density_nonoptimal_to_nonoptimal_codon	average_subst_per_gene_density_nonoptimal_to_nonoptimal_codon	density_nonoptimal_to_nonoptimal_codon	allsites_density_nonoptimal_to_nonoptimal_codon	confint1_density_nonoptimal_to_nonoptimal_codon	confint2_density_nonoptimal_to_nonoptimal_codon	simulation_density_nonoptimal_to_nonoptimal_codon	std_density_nonoptimal_to_nonoptimal_codon	confint_low_density_nonoptimal_to_nonoptimal_codon	confint_high_density_nonoptimal_to_nonoptimal_codon	sum_cible_density_nonoptimal_to_optimal_codon	median_cible_density_nonoptimal_to_optimal_codon	sum_subst_density_nonoptimal_to_optimal_codon	median_subst_per_gene_density_nonoptimal_to_optimal_codon	average_subst_per_gene_density_nonoptimal_to_optimal_codon	density_nonoptimal_to_optimal_codon	allsites_density_nonoptimal_to_optimal_codon	confint1_density_nonoptimal_to_optimal_codon	confint2_density_nonoptimal_to_optimal_codon	simulation_density_nonoptimal_to_optimal_codon	std_density_nonoptimal_to_optimal_codon	confint_low_density_nonoptimal_to_optimal_codon	confint_high_density_nonoptimal_to_optimal_codon	sum_cible_density_optimal_to_nonoptimal_codon	median_cible_density_optimal_to_nonoptimal_codon	sum_subst_density_optimal_to_nonoptimal_codon	median_subst_per_gene_density_optimal_to_nonoptimal_codon	average_subst_per_gene_density_optimal_to_nonoptimal_codon	density_optimal_to_nonoptimal_codon	allsites_density_optimal_to_nonoptimal_codon	confint1_density_optimal_to_nonoptimal_codon	confint2_density_optimal_to_nonoptimal_codon	simulation_density_optimal_to_nonoptimal_codon	std_density_optimal_to_nonoptimal_codon	confint_low_density_optimal_to_nonoptimal_codon	confint_high_density_optimal_to_nonoptimal_codon	sum_cible_density_optimal_to_optimal_codon	median_cible_density_optimal_to_optimal_codon	sum_subst_density_optimal_to_optimal_codon	median_subst_per_gene_density_optimal_to_optimal_codon	average_subst_per_gene_density_optimal_to_optimal_codon	density_optimal_to_optimal_codon	allsites_density_optimal_to_optimal_codon	confint1_density_optimal_to_optimal_codon	confint2_density_optimal_to_optimal_codon	simulation_density_optimal_to_optimal_codon	std_density_optimal_to_optimal_codon	confint_low_density_optimal_to_optimal_codon	confint_high_density_optimal_to_optimal_codon	sum_cible_density_nonoptimal_to_nonoptimal_intron	median_cible_density_nonoptimal_to_nonoptimal_intron	sum_subst_density_nonoptimal_to_nonoptimal_intron	median_subst_per_gene_density_nonoptimal_to_nonoptimal_intron	average_subst_per_gene_density_nonoptimal_to_nonoptimal_intron	density_nonoptimal_to_nonoptimal_intron	allsites_density_nonoptimal_to_nonoptimal_intron	confint1_density_nonoptimal_to_nonoptimal_intron	confint2_density_nonoptimal_to_nonoptimal_intron	simulation_density_nonoptimal_to_nonoptimal_intron	std_density_nonoptimal_to_nonoptimal_intron	confint_low_density_nonoptimal_to_nonoptimal_intron	confint_high_density_nonoptimal_to_nonoptimal_intron	sum_cible_density_optimal_to_nonoptimal_intron	median_cible_density_optimal_to_nonoptimal_intron	sum_subst_density_optimal_to_nonoptimal_intron	median_subst_per_gene_density_optimal_to_nonoptimal_intron	average_subst_per_gene_density_optimal_to_nonoptimal_intron	density_optimal_to_nonoptimal_intron	allsites_density_optimal_to_nonoptimal_intron	confint1_density_optimal_to_nonoptimal_intron	confint2_density_optimal_to_nonoptimal_intron	simulation_density_optimal_to_nonoptimal_intron	std_density_optimal_to_nonoptimal_intron	confint_low_density_optimal_to_nonoptimal_intron	confint_high_density_optimal_to_nonoptimal_intron	sum_cible_density_nonoptimal_to_optimal_intron	median_cible_density_nonoptimal_to_optimal_intron	sum_subst_density_nonoptimal_to_optimal_intron	median_subst_per_gene_density_nonoptimal_to_optimal_intron	average_subst_per_gene_density_nonoptimal_to_optimal_intron	density_nonoptimal_to_optimal_intron	allsites_density_nonoptimal_to_optimal_intron	confint1_density_nonoptimal_to_optimal_intron	confint2_density_nonoptimal_to_optimal_intron	simulation_density_nonoptimal_to_optimal_intron	std_density_nonoptimal_to_optimal_intron	confint_low_density_nonoptimal_to_optimal_intron	confint_high_density_nonoptimal_to_optimal_intron	sum_cible_density_optimal_to_optimal_intron	median_cible_density_optimal_to_optimal_intron	sum_subst_density_optimal_to_optimal_intron	median_subst_per_gene_density_optimal_to_optimal_intron	average_subst_per_gene_density_optimal_to_optimal_intron	density_optimal_to_optimal_intron	allsites_density_optimal_to_optimal_intron	confint1_density_optimal_to_optimal_intron	confint2_density_optimal_to_optimal_intron	simulation_density_optimal_to_optimal_intron	std_density_optimal_to_optimal_intron	confint_low_density_optimal_to_optimal_intron	confint_high_density_optimal_to_optimal_intron	group	method_to_calculate
91.508475	25125	99.5	347	2	2.51449275362319	0.0214818029175663	0.0107409014587832	NA	NA	0.0215121801009831	0.0000386480874417264	0.0192146361625468	0.023868860866967	25125	99.5	551	3	3.33939393939394	0.0273142136806397	0.00891364514251476	NA	NA	0.027291453674603	0.0000409573424021371	0.0249057268480289	0.0297956883035727	51822	208	900	4	4.81283422459893	0.0193222532408133	0.0130809886739537	NA	NA	0.0193003707234973	0.0000235852099270424	0.0178704178907437	0.0208343868527184	51822	208	542	2	3.11494252873563	0.0122021082050551	0.00610105410252757	NA	NA	0.012197047586633	0.0000187824752662417	0.0110489575579981	0.0133625555410206	93661	152	735	3	6.02459016393443	0.0136807929636867	0.00684039648184334	NA	NA	0.0136470990674389	0.0000300275796109384	0.0118086942105996	0.0155429836178764	65502	101	786	3	5.77941176470588	0.022117210250927	0.0088641954590931	NA	NA	0.0220905706351226	0.0000457658421412797	0.0194513923978885	0.024964371891819	93661	152	921	3	6.72262773722628	0.0169604863429817	0.00956678421247927	NA	NA	0.0169974682304796	0.0000342355224453448	0.0148150106064455	0.0190465805807179	65502	101	512	2	4.26666666666667	0.0149342329917013	0.00746711649585065	NA	NA	0.0148991916680039	0.0000371054814434909	0.0127079261857301	0.0172079096347484	POCs	per_gene
145.84075	21636	74.5	285	2	2.31707317073171	0.022425750895101	0.0112128754475505	NA	NA	0.0224215047447094	0.0000416468605421608	0.0199539624079224	0.0250363461598475	21636	74.5	501	2	3.09259259259259	0.0282068298277868	0.00863190021314207	NA	NA	0.0281797607045512	0.0000468256978427591	0.0251881551795126	0.0310797111302347	48809	181.5	833	4	4.60220994475138	0.019373846186644	0.0134343693991719	NA	NA	0.0193797739837916	0.0000247704562837005	0.0178644524385895	0.0208908250311511	48809	181.5	488	2	2.95757575757576	0.0131863027725606	0.00659315138628028	NA	NA	0.0131656342557713	0.0000211386173526979	0.0118845898269243	0.0145135310733709	92243	124	732	2	5.95121951219512	0.0158150788067787	0.00790753940338934	NA	NA	0.015836875675102	0.0000350726534444189	0.0137358295800307	0.0181528551518899	65186	89	710	3	5.41984732824428	0.0223660176419295	0.00934897154107519	NA	NA	0.0224108413432622	0.0000463016424458106	0.0197035008123796	0.0253171011394516	92243	124	918	3	7.00763358778626	0.0191599486126089	0.0109765863993591	NA	NA	0.0191640219868899	0.0000388680516982832	0.0168616403968704	0.0217652089255899	65186	89	471	2	4.48571428571429	0.0165643721934218	0.00828218609671089	NA	NA	0.0165490490075408	0.0000391587769759547	0.014253940862485	0.0191561032962006	POCs	per_gene
293.9655	20230	76	288	2	2.28571428571429	0.021508795877128	0.010754397938564	NA	NA	0.0215883528285705	0.0000445353649413831	0.0188407989580367	0.0244064149458915	20230	76	461	2	2.86335403726708	0.0312049243642632	0.00874684702672008	NA	NA	0.0312811966287819	0.000052082682106783	0.028218878071181	0.0343210730205194	50083	212	805	3	4.52247191011236	0.0178352674764879	0.0123853845999556	NA	NA	0.0178177426106678	0.0000247048411012459	0.0163037486799529	0.0194105246055189	50083	212	494	2	3.16666666666667	0.0123015492159795	0.00615077460798977	NA	NA	0.0122930521747236	0.0000211154374429188	0.0110449850235538	0.013600424120119	74474	164	607	3	4.39855072463768	0.0156378398282644	0.00781891991413222	NA	NA	0.0156485179146591	0.0000331488624364149	0.0137071557851048	0.0177459185892518	49838	118	654	3	5.31707317073171	0.0231474454283148	0.00912019435962822	NA	NA	0.0231205441924846	0.0000456457884360812	0.0204020382517819	0.0259877043282668	74474	164	781	3	5.82835820895522	0.0147517529561976	0.00892288145594457	NA	NA	0.0147523519885139	0.0000322192133652412	0.0128840538681876	0.0168504331429173	49838	118	342	2	3.45454545454545	0.012917008709483	0.0064585043547415	NA	NA	0.012940259853179	0.0000341778092606733	0.0109482976288788	0.0151311603839029	POCs	per_gene
1744.75	13586	37	133	1	1.92753623188406	0.0243592681384077	0.0121796340692038	NA	NA	0.0243590888884024	0.0000610527301990009	0.0208284143126173	0.0282632352539214	13586	37	277	2	2.56481481481481	0.0367146244241559	0.00912349577229431	NA	NA	0.0367237720911281	0.0000764250744366245	0.0323256864127789	0.0414662773957679	40857	149	454	2	3.26618705035971	0.0153258516065171	0.0111880918386421	NA	NA	0.015336219069952	0.0000243446720239196	0.0138608343998107	0.0168569438440749	40857	149	392	2	2.78014184397163	0.0136856380268421	0.00684281901342107	NA	NA	0.0136797447546276	0.0000244410746741875	0.0121929840380274	0.0152018146083271	68011	195	519	2	4.152	0.0132818762650706	0.00664093813253529	NA	NA	0.0133051242604046	0.0000309451496071643	0.0114122953329368	0.0152685767065244	48229	131	581	3	4.5748031496063	0.0200343318623468	0.00857071859085049	NA	NA	0.0200642078679131	0.0000419451514728885	0.0174542881372823	0.0226027635707643	68011	195	588	3	4.66666666666667	0.015471258503839	0.00893139878383325	NA	NA	0.0154951468254632	0.0000320429710279131	0.0136356312029968	0.0174947492004273	48229	131	347	2	3.15454545454545	0.0183006499781825	0.00915032498909127	NA	NA	0.0183008503111369	0.0000402296963950808	0.0159988875357657	0.0208394735373879	POCs	per_gene
0.002342945	74885	262	984	4	5.40659340659341	0.0153661290736506	0.00768306453682528	NA	NA	0.0153473320519171	0.0000212984694536174	0.0140381690536521	0.0166129329883281	74885	262	1447	5	7.38265306122449	0.021554700564294	0.00959806430612824	NA	NA	0.0215329240069963	0.0000241681627266278	0.0200950408953682	0.0231207026429806	98196	360	1868	6	9.53061224489796	0.0206948268622754	0.0115354124266635	NA	NA	0.0206966689432823	0.0000216809954491477	0.019387030003451	0.0220963983951954	98196	360	954	3	5.18478260869565	0.0114264085713992	0.00571320428569958	NA	NA	0.0114154328387184	0.0000160203541698399	0.0104374266212536	0.0124218491631571	918014	667	5517	8.5	33.2349397590361	0.0100076632275346	0.0050038316137673	NA	NA	0.0100064387119812	0.0000261443861670735	0.00890159806507285	0.0113569307080882	630772	404	5476	8	32.4023668639053	0.0187636448312939	0.00720971338327435	NA	NA	0.0187404642323762	0.0000304831667102276	0.0169544353448881	0.0207001344714293	918014	667	6862	10.5	39.4367816091954	0.0128721185430149	0.00784742780646303	NA	NA	0.0127954236499378	0.0000258459538050814	0.0115623413907414	0.0141666329055544	630772	404	3258	7	21.2941176470588	0.0117624191595319	0.00588120957976593	NA	NA	0.0117954471607687	0.0000251028328339073	0.0103046602175511	0.013514436535597	POCs	per_gene
0.00611804	62657	234	908	4	4.93478260869565	0.0174076011820516	0.00870380059102578	NA	NA	0.0174103929346194	0.0000227546478120806	0.0160268235123812	0.0188797197830983	62657	234	1289	5	6.78421052631579	0.0223008330411025	0.00974350338471709	NA	NA	0.0222763530536511	0.0000256655071431048	0.0206477542522223	0.023962563772182	81742	305.5	1588	6	8.10204081632653	0.0215753201813176	0.0118454493477013	NA	NA	0.0215939916985934	0.0000221942129217509	0.0201513357830632	0.0229580906535021	81742	305.5	869	3	4.77472527472527	0.012627192851598	0.00631359642579898	NA	NA	0.0126278719848191	0.0000174061319685177	0.0115880590949243	0.0136889275790728	611534	300	3778	8	27.7794117647059	0.0136643652063853	0.00683218260319263	NA	NA	0.0136853831284333	0.0000265421625394403	0.0122543414303552	0.0156044767057298	423810	171	3950	6	27.2413793103448	0.0238975589339075	0.00917310024889712	NA	NA	0.0239224658205012	0.0000473031671498299	0.0211930147477468	0.0270515666648995	611534	300	4759	7	32.1554054054054	0.0174214340581695	0.010656716162093	NA	NA	0.0174193626605922	0.000031194791599737	0.0155532909542786	0.019437339435288	423810	171	2277	4	16.7426470588235	0.0148224159320305	0.00741120796601523	NA	NA	0.0147986739521002	0.0000355256514645415	0.0126064009634255	0.0172097877206678	POCs	per_gene
0.0098455125	62432	204	963	3	5.32044198895028	0.0169225808817549	0.00846129044087744	NA	NA	0.0169042044795491	0.0000219262841576467	0.0155381640497417	0.0183665949451931	62432	204	1246	4.5	6.42268041237113	0.0233031293677196	0.00982772314113492	NA	NA	0.0233015898369806	0.0000256459365409129	0.021765161122943	0.0249157725511231	85017	305.5	1804	6	9.02	0.0220066153502598	0.0124283769506052	NA	NA	0.0219788857663334	0.000022918386881236	0.0205900979085941	0.0234976872852918	85017	305.5	924	3	5.10497237569061	0.012474122675492	0.00623706133774599	NA	NA	0.0124802667224253	0.0000176781911748612	0.0114304695940349	0.013615982854018	713420	313.5	4508	9	33.3925925925926	0.0121689176123211	0.00608445880616057	NA	NA	0.012139066156757	0.0000263158400834871	0.0105947493438256	0.0137538287756832	498359	196.5	4574	8	34.390977443609	0.0202576552336398	0.0078606976737895	NA	NA	0.0201694784772215	0.0000475399080482456	0.017604996326129	0.0233473577334377	713420	313.5	5617	7	38.7379310344828	0.0160916677354495	0.00988302221554521	NA	NA	0.0161028986832908	0.0000293630481438109	0.0144059256802461	0.017954639495341	498359	196.5	2581	4.5	19.5530303030303	0.0135781699696058	0.0067890849848029	NA	NA	0.0135555280156389	0.0000390699531370367	0.0114475662038691	0.0160994777213311	POCs	per_gene
0.013865425	50662	184.5	739	3	4.01630434782609	0.0179615323393699	0.00898076616968493	NA	NA	0.0179552650428318	0.0000261438889245807	0.0163908522356231	0.0196114803915474	50662	184.5	1058	4	5.53926701570681	0.0235563387616614	0.00955854762916067	NA	NA	0.0235514613498632	0.0000278366933545601	0.0218783337650903	0.0252683643062808	71664	275	1475	6	7.44949494949495	0.0220349416091069	0.0128720545043362	NA	NA	0.0220280781772683	0.0000223735005181842	0.0207158903214187	0.0233428504904765	71664	275	734	3	4.26744186046512	0.0123632525638813	0.00618162628194064	NA	NA	0.0123493696811219	0.0000170731935047893	0.0113077614289934	0.0134223213104608	276819	220.5	1833	4	13.781954887218	0.0140148152267652	0.00700740761338258	NA	NA	0.0139751234272066	0.0000288459151189083	0.0123125993425582	0.0158222409101232	189358	131	1944	5	14.4	0.0255096220750191	0.00978131432387294	NA	NA	0.025552813595338	0.0000497065756101912	0.0225384133333752	0.0287135849881079	276819	220.5	2530	5	17.6923076923077	0.0179252588672293	0.0108109483585868	NA	NA	0.0179298054976281	0.0000318223506578283	0.016033731533878	0.020000724748297	189358	131	1179	3	9.2109375	0.0167846113212073	0.00839230566060366	NA	NA	0.0168235170253376	0.0000413057929789971	0.0143851849241674	0.0196074215469825	POCs	per_gene
0.0193934	63775	173	1060	3	5.88888888888889	0.017638878792122	0.00881943939606098	NA	NA	0.0176414908105395	0.0000243377987039579	0.0161650377142504	0.0192107478555946	63775	173	1283	4	6.75263157894737	0.0247904063596375	0.0103252059266025	NA	NA	0.0248124198979979	0.0000295146717990888	0.023058225212219	0.0267074734511569	78366	266	1558	5	8.03092783505155	0.0210964070881264	0.0121388456418832	NA	NA	0.0211215969975595	0.0000229876632031718	0.0197464036382025	0.022558256228917	78366	266	691	3	3.97126436781609	0.0113727513895825	0.00568637569479127	NA	NA	0.0113904364926943	0.0000160600784203236	0.010402941265538	0.012416985398794	445300	132	2765	4	20.9469696969697	0.0143393099205393	0.00716965496026963	NA	NA	0.0143247913949614	0.0000322512586613232	0.012493699394486	0.0164805034113268	305105	83	2712	4.5	20.5454545454545	0.0246677664645549	0.0097095754318731	NA	NA	0.0245903061855655	0.000052635557897874	0.0213857552322999	0.0281028864542336	445300	132	3425	4.5	24.8188405797101	0.0184036018562527	0.0112963707293672	NA	NA	0.0183551733066095	0.0000349899009930042	0.0161427018120968	0.0205385009585244	305105	83	1625	3	13	0.0188709049765812	0.00943545248829061	NA	NA	0.0188978698724152	0.0000466132826127431	0.0161105758021015	0.0219216747813067	POCs	per_gene
0.0270147	49146	178.5	705	3	3.96067415730337	0.0169157308835931	0.00845786544179655	NA	NA	0.0169608471510487	0.0000278580138571965	0.0153974007601136	0.0188332349193239	49146	178.5	1048	4	5.4869109947644	0.0260311867664822	0.0105018969080128	NA	NA	0.026060065765461	0.0000331919426339984	0.0240916590848626	0.0282555051323139	68434	263	1385	6	7.17616580310881	0.0223133984502303	0.0131226170593224	NA	NA	0.0223460876577781	0.0000282663746322381	0.0208148479988903	0.0243921351513342	68434	263	689	3	3.66489361702128	0.0120982587184152	0.00604912935920759	NA	NA	0.0120842471390789	0.0000218547788909347	0.0109531236114099	0.0137929833282649	359101	205.5	2355	5	17.5746268656716	0.0126652704146335	0.00633263520731675	NA	NA	0.0126755939216343	0.000029914444378332	0.010810098240095	0.0146258956782858	246356	151	2539	6	18.2661870503597	0.0258258210552458	0.0100127797280137	NA	NA	0.0257480487478751	0.000052119224485285	0.0226363016584704	0.0292976507807627	359101	205.5	3103	6	22.0070921985816	0.017127882272362	0.0104008417938978	NA	NA	0.017095406270544	0.0000337834985404688	0.0150072076450365	0.0192724284548724	246356	151	1553	4	12.3253968253968	0.0166991937477854	0.00834959687389269	NA	NA	0.0167136787419341	0.000041731617859524	0.0143561740152362	0.0194337872047958	POCs	per_gene
0.034821675	47718	162	704	3	3.91111111111111	0.0189259543998806	0.00946297719994028	NA	NA	0.0189708517910168	0.0000285943681916959	0.0172128840862181	0.0208472012111433	47718	162	986	3	5.3010752688172	0.0229198447137531	0.00950618474178129	NA	NA	0.0229083787889327	0.0000311841440831953	0.0210075854058462	0.0248324060235083	68516	226.5	1341	5	6.84183673469388	0.0229456841687749	0.0133434534656305	NA	NA	0.0229867950421761	0.000026268449526452	0.0214593440794897	0.0246401519017435	68516	226.5	659	3	4.0679012345679	0.0126862579151358	0.00634312895756791	NA	NA	0.012671365311122	0.0000192962966576855	0.0115380699868637	0.01383106216683	367500	166	2300	3	16.9117647058824	0.0143529004501839	0.00717645022509197	NA	NA	0.0143465285276414	0.0000314722033965429	0.0124465579192745	0.0163136742618141	254074	106	2379	4	17.8872180451128	0.0229762949443596	0.00894171473190922	NA	NA	0.0229381112375724	0.0000484282998472254	0.0201632482970342	0.0260178712787783	367500	166	3002	4	20.8472222222222	0.0166699549139326	0.0101425266810894	NA	NA	0.0166975633724307	0.000033295962344701	0.0147684958645111	0.0187809597119264	254074	106	1457	3	11.75	0.0186842653645239	0.00934213268226193	NA	NA	0.018686951593422	0.0000442766898312861	0.0160763573648594	0.0216382366157837	POCs	per_gene
0.045447275	41343	151.5	644	3	3.65909090909091	0.0189159419128757	0.00945797095643787	NA	NA	0.0188471029220517	0.0000335970609542843	0.0169332634360296	0.0210848269418568	41343	151.5	818	3	4.56983240223464	0.0233697788438277	0.00956792531193829	NA	NA	0.0233628269466329	0.000037099270595662	0.0212113642297655	0.0258422377371456	58257	214	1126	5	6.1195652173913	0.0219684028913344	0.0126846894841751	NA	NA	0.0219894564504692	0.000030426000266063	0.0204237046817342	0.0243826992954878	58257	214	552	3	3.36585365853659	0.0132007881067563	0.00660039405337814	NA	NA	0.0132156324234073	0.0000223519108835184	0.011970859667207	0.0146527342367623	444232	170	2917	4	24.7203389830508	0.0127418180484479	0.00637090902422393	NA	NA	0.0127625185723063	0.0000306300026850118	0.0109080005032659	0.0147565360392607	301932	103	2993	4	23.944	0.0255570480981915	0.00984400243440044	NA	NA	0.0256009057187711	0.0000541360909036396	0.022406004562892	0.0291170757695705	444232	170	3512	4	28.7868852459016	0.0156879361511377	0.00968984050758459	NA	NA	0.0157214465337956	0.0000341319338432428	0.0138268409643717	0.0179230928946571	301932	103	1856	3	16.1391304347826	0.0174144042846821	0.00870720214234103	NA	NA	0.0174676963986057	0.0000462146526405396	0.0147209574060231	0.0205095296581229	POCs	per_gene
0.0624642	49121	158	728	3	4.06703910614525	0.018115434254796	0.00905771712739801	NA	NA	0.0181154636746332	0.0000281814023482228	0.0164439309242689	0.0199454184202053	49121	158	1073	4	5.61780104712042	0.0264013037386898	0.0104284771106942	NA	NA	0.0263658516223146	0.0000312386296643259	0.02458040607929	0.0284464488464223	68676	231	1385	4	6.99494949494949	0.0218324322857084	0.0125650035101624	NA	NA	0.0218531574154899	0.0000237124480518156	0.0203649173714096	0.0233104746274656	68676	231	697	3	4.14880952380952	0.0127093297970643	0.00635466489853214	NA	NA	0.0127362198586644	0.0000185698489739121	0.0116456039086104	0.0139160750185584	261407	145	1801	3	13.8538461538462	0.0153046807869081	0.00765234039345404	NA	NA	0.0152897391033522	0.0000329232021934448	0.0133063231327914	0.0174219446124044	176695	95	1923	4	14.3507462686567	0.0297247167659602	0.0110620149373204	NA	NA	0.0296611944591862	0.0000589105418351128	0.026148869172589	0.0332821743851166	261407	145	2407	4	16.8321678321678	0.0198982794570863	0.0120378652424566	NA	NA	0.0199167044828901	0.000037600786404708	0.0176859303251259	0.0224078521895529	176695	95	1092	2	9.25423728813559	0.0166457319470272	0.00832286597351362	NA	NA	0.0165984450204818	0.000041612912561799	0.0141161407587531	0.0192600590597637	POCs	per_gene
0.083460175	41835	146	623	3	3.73053892215569	0.0189362468269622	0.00946812341348111	NA	NA	0.0189617698217779	0.0000305061861593438	0.0170511703441942	0.02076838445017	41835	146	899	3	4.80748663101604	0.0257534386827689	0.00980386807069575	NA	NA	0.0257835994155593	0.0000341497598439951	0.0236998374421288	0.0279576890149485	61339	222	1331	4	6.75634517766497	0.0230710361320642	0.0139015365077744	NA	NA	0.0230337670939876	0.0000264916556792459	0.021345960985196	0.0247321741118723	61339	222	641	3	3.70520231213873	0.0136879079737985	0.00684395398689925	NA	NA	0.0136707990562932	0.000020737284198077	0.0124055327365096	0.0149575358381753	240952	198	1589	4	13.698275862069	0.0145761661085209	0.00728808305426047	NA	NA	0.0145494962763472	0.0000352829683153669	0.0124971901877648	0.0168965962597556	163483	107	1698	3	13.3700787401575	0.0251792521346407	0.00974450568010483	NA	NA	0.0250527678131655	0.0000575062095672546	0.0217248916496835	0.0285765922635087	240952	198	2059	4	15.8384615384615	0.0195687180368758	0.0117971520481773	NA	NA	0.0195602593117601	0.0000392537386171886	0.0172687982409919	0.0221017748930129	163483	107	990	3	9	0.0189218015538131	0.00946090077690655	NA	NA	0.0189873380896354	0.0000520398530350585	0.0160221634454628	0.0224362080806337	POCs	per_gene
0.111762975	48757	147.5	761	3	4.50295857988166	0.0188360562807238	0.00941802814036192	NA	NA	0.0188339419064351	0.0000334225178421602	0.0169492202431235	0.0210566257580235	48757	147.5	1086	3	5.9344262295082	0.0278221899823641	0.0106093852934881	NA	NA	0.0278545462863023	0.0000408500236799398	0.0255470523384466	0.0304554094134912	67516	248.5	1508	5	7.93684210526316	0.0239427817071579	0.0141062987726561	NA	NA	0.0239627074213805	0.0000360774144890297	0.0222462192236563	0.0271723779245272	67516	248.5	789	3	4.50857142857143	0.0136342636451745	0.00681713182258726	NA	NA	0.0136028072980619	0.0000265141631027926	0.0123520186002888	0.0151135679106147	341869	136	2224	5	19.6814159292035	0.0149298195533307	0.00746490977666535	NA	NA	0.0149040153377077	0.00003455044714711	0.0129147962086401	0.0170959837917997	237569	81	2359	4	18.7222222222222	0.0261406307454158	0.0104671551781798	NA	NA	0.0262417373196332	0.0000581764997077669	0.0227120558126382	0.0299012545507707	341869	136	2775	4.5	21.3461538461538	0.0170732764924892	0.0101220511982971	NA	NA	0.0170268126823219	0.0000368767420768177	0.0149073589367414	0.019566913646875	237569	81	1432	3	12.3448275862069	0.0176088358798146	0.00880441793990729	NA	NA	0.017686061209498	0.0000472760583102798	0.015014584453956	0.0207510854917106	POCs	per_gene
0.1455644	52080	157.5	800	3	4.84848484848485	0.0201927663586234	0.0100963831793117	NA	NA	0.0201574031626213	0.0000383164467466039	0.018237390707604	0.0229820202054106	52080	157.5	1127	3	5.93157894736842	0.026487667778497	0.0104539681092463	NA	NA	0.0264864843506489	0.0000450452546946471	0.0240959268973861	0.0301500658477769	72054	235	1476	5	7.76842105263158	0.0213496254274576	0.0126270428315776	NA	NA	0.0213905212600794	0.000031727139355094	0.0197428100424842	0.0237446087682131	72054	235	732	2.5	4.20689655172414	0.0132311540745699	0.00661557703728495	NA	NA	0.013220252099825	0.0000253089384346878	0.0119239337341768	0.0151989702486687	191211	163.5	1551	4	12.1171875	0.014198346617922	0.00709917330896101	NA	NA	0.0141773621733495	0.0000310260507345812	0.0123528978916804	0.016171492505689	133849	109	1677	4	12.9	0.0245268968690198	0.0098951200479079	NA	NA	0.0245658075898766	0.0000505228165900344	0.0213601763565709	0.0278360120929853	191211	163.5	1893	5	14.3409090909091	0.0177488793866808	0.0106536737856304	NA	NA	0.0177916763861354	0.0000343421516945707	0.0157095055282256	0.0200547676155888	133849	109	967	3	8.87155963302752	0.0162517212146928	0.00812586060734642	NA	NA	0.0162414276242322	0.0000393207607912447	0.0139203406389179	0.018744799017551	POCs	per_gene
0.19412025	52697	175	775	3	4.53216374269006	0.0206844279040609	0.0103422139520304	NA	NA	0.0206317558658822	0.0000340038099653499	0.0185817087019243	0.0228999219761028	52697	175	1053	4	5.63101604278075	0.0265738263496673	0.0106195173121135	NA	NA	0.0265677556396397	0.0000395361228078877	0.0241696622207562	0.0290845927114202	75376	251	1504	6	8	0.0228681915532874	0.0132021215425168	NA	NA	0.0228612579153887	0.0000313294176972433	0.0210881403422321	0.0249350691198079	75376	251	734	3	4.19428571428571	0.0131215443064565	0.00656077215322827	NA	NA	0.0131260882640114	0.0000235435056722389	0.011884639035777	0.0147794368980596	393805	199	2919	5.5	22.4538461538462	0.0135488412881753	0.00677442064408767	NA	NA	0.0135478747166708	0.0000313111288370835	0.0117372153748073	0.0155529854940578	267584	133	2804	5	21.7364341085271	0.0223146161967773	0.00920063829719131	NA	NA	0.0222728603719075	0.0000476765432436332	0.0195571908592878	0.0254127574684366	393805	199	3703	4.5	25.3630136986301	0.0195841799708084	0.0112691215264486	NA	NA	0.0195341509349954	0.0000385975180632436	0.0173129277772086	0.0219868137977209	267584	133	1745	4	14.7881355932203	0.0149409954485441	0.00747049772427203	NA	NA	0.0149019923109734	0.0000370093769097428	0.0127404231566289	0.017233825757023	POCs	per_gene
0.2660955	50158	151.5	812	3	4.61363636363636	0.0196470750570159	0.00982353752850797	NA	NA	0.0196061862274497	0.0000285168473473193	0.0179040270532962	0.021314881638913	50158	151.5	1077	4	5.95027624309392	0.0257944273756559	0.0101020353852608	NA	NA	0.0258244521354174	0.000032394607256027	0.0238619977972929	0.027844343488488	74413	235.5	1616	5	8.59574468085106	0.024126386766816	0.0143888217175175	NA	NA	0.0241522670746173	0.0000258948081914686	0.0225838557222437	0.0257651394771549	74413	235.5	803	3	4.66860465116279	0.0139382152043026	0.00696910760215131	NA	NA	0.0139351367102317	0.0000196625261349144	0.0127331790792685	0.0152175602883487	315118	123	2065	3	15.763358778626	0.0157790417685536	0.00788952088427679	NA	NA	0.015722133464087	0.0000351318474305528	0.0136064914585605	0.01777683724333	225764	89	2063	3	16.1171875	0.0232648272933431	0.00929234495474361	NA	NA	0.0232441022158486	0.0000471684003268178	0.0204888767693652	0.0263134483343353	315118	123	2597	4	18.2887323943662	0.018533055684308	0.0112131112873675	NA	NA	0.018559004386923	0.0000354475764164421	0.0164158707863066	0.020724822089938	225764	89	1313	3	11.4173913043478	0.0163251057367963	0.00816255286839816	NA	NA	0.0162969461150903	0.0000424025315558317	0.0137480030841716	0.0190112904260737	POCs	per_gene
